Subject,Sound,Response_preference,Response_score,Response_score_2,Difference_1,Difference_2,Difference_test,Difference_3,Category
123,dam.wav,s,1,-1,na,2,2,2,n
123,dam.wav,r,1,1,-2,na,-2,2,n
122,dam.wav,r,2,2,na,-2,-2,2,n
122,dam.wav,n,0,0,2,na,2,2,n
121,dam.wav,s,1,-1,na,1,1,1,n
121,dam.wav,n,0,0,-1,na,-1,1,n
120,dam.wav,r,1,1,na,-3,-3,3,n
120,dam.wav,s,2,-2,3,na,3,3,n
119,dam.wav,s,2,-2,na,4,4,4,n
119,dam.wav,r,2,2,-4,na,-4,4,n
118,dam.wav,r,2,2,na,0,0,0,n
118,dam.wav,r,2,2,0,na,0,0,n
117,dam.wav,n,0,0,na,2,2,2,n
117,dam.wav,r,2,2,-2,na,-2,2,n
116,dam.wav,s,2,-2,na,4,4,4,n
116,dam.wav,r,2,2,-4,na,-4,4,n
114,dam.wav,r,1,1,na,-1,-1,1,n
114,dam.wav,n,0,0,1,na,1,1,n
113,dam.wav,r,1,1,na,2,2,2,n
113,dam.wav,r,3,3,-2,na,-2,2,n
112,dam.wav,s,2,-2,na,0,0,0,n
112,dam.wav,s,2,-2,0,na,0,0,n
111,dam.wav,n,0,0,na,0,0,0,n
111,dam.wav,n,0,0,0,na,0,0,n
110,dam.wav,n,0,0,na,-1,-1,1,n
110,dam.wav,s,1,-1,1,na,1,1,n
109,dam.wav,r,1,1,na,0,0,0,n
109,dam.wav,r,1,1,0,na,0,0,n
107,dam.wav,r,1,1,na,-1,-1,1,n
107,dam.wav,n,0,0,1,na,1,1,n
106,dam.wav,r,2,2,na,-4,-4,4,n
106,dam.wav,s,2,-2,4,na,4,4,n
105,dam.wav,r,2,2,na,-1,-1,1,n
105,dam.wav,r,1,1,1,na,1,1,n
104,dam.wav,n,0,0,na,0,0,0,n
104,dam.wav,n,0,0,0,na,0,0,n
103,dam.wav,n,0,0,na,0,0,0,n
103,dam.wav,n,0,0,0,na,0,0,n
102,dam.wav,r,2,2,na,-3,-3,3,n
102,dam.wav,s,1,-1,3,na,3,3,n
101,dam.wav,n,0,0,na,1,1,1,n
101,dam.wav,r,1,1,-1,na,-1,1,n
108,dam.wav,r,2,2,na,-2,-2,2,n
108,dam.wav,n,0,0,2,na,2,2,n
123,dɒf.wav,r,2,2,na,1,1,1,n
123,dɒf.wav,r,3,3,-1,na,-1,1,n
122,dɒf.wav,n,0,0,na,1,1,1,n
122,dɒf.wav,r,1,1,-1,na,-1,1,n
121,dɒf.wav,n,0,0,na,0,0,0,n
121,dɒf.wav,n,0,0,0,na,0,0,n
120,dɒf.wav,s,1,-1,na,3,3,3,n
120,dɒf.wav,r,2,2,-3,na,-3,3,n
119,dɒf.wav,r,2,2,na,-4,-4,4,n
119,dɒf.wav,s,2,-2,4,na,4,4,n
118,dɒf.wav,r,1,1,na,0,0,0,n
118,dɒf.wav,r,1,1,0,na,0,0,n
117,dɒf.wav,r,1,1,na,-3,-3,3,n
117,dɒf.wav,s,2,-2,3,na,3,3,n
116,dɒf.wav,n,0,0,na,-2,-2,2,n
116,dɒf.wav,s,2,-2,2,na,2,2,n
114,dɒf.wav,n,0,0,na,1,1,1,n
114,dɒf.wav,r,1,1,-1,na,-1,1,n
113,dɒf.wav,r,1,1,na,2,2,2,n
113,dɒf.wav,r,3,3,-2,na,-2,2,n
112,dɒf.wav,r,2,2,na,-2,-2,2,n
112,dɒf.wav,n,0,0,2,na,2,2,n
111,dɒf.wav,r,1,1,na,-2,-2,2,n
111,dɒf.wav,s,1,-1,2,na,2,2,n
110,dɒf.wav,s,1,-1,na,1,1,1,n
110,dɒf.wav,n,0,0,-1,na,-1,1,n
109,dɒf.wav,s,1,-1,na,0,0,0,n
109,dɒf.wav,s,1,-1,0,na,0,0,n
107,dɒf.wav,n,0,0,na,-1,-1,1,n
107,dɒf.wav,s,1,-1,1,na,1,1,n
106,dɒf.wav,s,2,-2,na,4,4,4,n
106,dɒf.wav,r,2,2,-4,na,-4,4,n
105,dɒf.wav,n,0,0,na,1,1,1,n
105,dɒf.wav,r,1,1,-1,na,-1,1,n
104,dɒf.wav,n,0,0,na,0,0,0,n
104,dɒf.wav,n,0,0,0,na,0,0,n
103,dɒf.wav,n,0,0,na,0,0,0,n
103,dɒf.wav,n,0,0,0,na,0,0,n
102,dɒf.wav,s,1,-1,na,3,3,3,n
102,dɒf.wav,r,2,2,-3,na,-3,3,n
101,dɒf.wav,r,1,1,na,0,0,0,n
101,dɒf.wav,r,1,1,0,na,0,0,n
108,dɒf.wav,n,0,0,na,0,0,0,n
108,dɒf.wav,n,0,0,0,na,0,0,n
123,dul.wav,r,1,1,na,0,0,0,n
123,dul.wav,r,1,1,0,na,0,0,n
122,dul.wav,s,1,-1,na,2,2,2,n
122,dul.wav,r,1,1,-2,na,-2,2,n
121,dul.wav,s,2,-2,na,0,0,0,n
121,dul.wav,s,2,-2,0,na,0,0,n
120,dul.wav,r,1,1,na,-1,-1,1,n
120,dul.wav,n,0,0,1,na,1,1,n
119,dul.wav,r,2,2,na,0,0,0,n
119,dul.wav,r,2,2,0,na,0,0,n
118,dul.wav,r,1,1,na,0,0,0,n
118,dul.wav,r,1,1,0,na,0,0,n
117,dul.wav,n,0,0,na,0,0,0,n
117,dul.wav,n,0,0,0,na,0,0,n
116,dul.wav,s,2,-2,na,0,0,0,n
116,dul.wav,s,2,-2,0,na,0,0,n
114,dul.wav,r,1,1,na,1,1,1,n
114,dul.wav,r,2,2,-1,na,-1,1,n
113,dul.wav,r,3,3,na,-2,-2,2,n
113,dul.wav,r,1,1,2,na,2,2,n
112,dul.wav,r,3,3,na,-4,-4,4,n
112,dul.wav,s,1,-1,4,na,4,4,n
111,dul.wav,r,1,1,na,0,0,0,n
111,dul.wav,r,1,1,0,na,0,0,n
110,dul.wav,n,0,0,na,1,1,1,n
110,dul.wav,r,1,1,-1,na,-1,1,n
109,dul.wav,r,1,1,na,1,1,1,n
109,dul.wav,r,2,2,-1,na,-1,1,n
107,dul.wav,r,1,1,na,2,2,2,n
107,dul.wav,r,3,3,-2,na,-2,2,n
106,dul.wav,s,2,-2,na,4,4,4,n
106,dul.wav,r,2,2,-4,na,-4,4,n
105,dul.wav,r,1,1,na,-1,-1,1,n
105,dul.wav,n,0,0,1,na,1,1,n
104,dul.wav,n,0,0,na,0,0,0,n
104,dul.wav,n,0,0,0,na,0,0,n
103,dul.wav,n,0,0,na,0,0,0,n
103,dul.wav,n,0,0,0,na,0,0,n
102,dul.wav,r,2,2,na,-2,-2,2,n
102,dul.wav,n,0,0,2,na,2,2,n
101,dul.wav,s,2,-2,na,3,3,3,n
