ExperimentName,Category,Subject,SPIKYCON,Block,con_inc,Picture1,Picture2,same_diff,Slide3.ACC,Slide3.RT,typefoil,typetarget,Sound
spikeycons12_extracols,Medium,Medium22,S8,1,i,p1.bmp,px2.bmp,d,0,3934,p,px,kag
spikeycons12_extracols,Medium,Medium22,S8,1,i,rx1.bmp,px2.bmp,d,0,1523,px,rx,lan
spikeycons12_extracols,Medium,Medium22,S8,1,i,px2.bmp,r2.bmp,s,0,2688,r,px,kag
spikeycons12_extracols,Medium,Medium22,S8,1,c,r3.bmp,r1.bmp,s,1,2101,r,r,wor
spikeycons12_extracols,Medium,Medium22,S8,1,i,rx3.bmp,rx2.bmp,s,0,2088,rx,rx,rin
spikeycons12_extracols,Medium,Medium22,S8,1,i,r2.bmp,rx2.bmp,d,0,878,r,rx,now
spikeycons12_extracols,Medium,Medium22,S8,1,c,p2.bmp,p1.bmp,s,1,3040,p,p,kib
spikeycons12_extracols,Medium,Medium22,S8,1,c,rx3.bmp,r2.bmp,d,1,1815,rx,r,mun
spikeycons12_extracols,Medium,Medium22,S8,1,c,r1.bmp,px3.bmp,s,0,1585,px,r,wor
spikeycons12_extracols,Medium,Medium22,S8,1,c,p1.bmp,r1.bmp,d,1,2387,r,p,kib
spikeycons12_extracols,Medium,Medium22,S8,1,c,p3.bmp,px1.bmp,d,1,1077,px,p,ped
spikeycons12_extracols,Medium,Medium22,S8,1,i,rx1.bmp,p3.bmp,s,1,1382,p,rx,lan
spikeycons12_extracols,Medium,Medium22,S8,1,i,px1.bmp,rx2.bmp,d,1,1925,rx,px,teg
spikeycons12_extracols,Medium,Medium22,S8,1,c,p3.bmp,r3.bmp,d,1,1404,p,r,wem
spikeycons12_extracols,Medium,Medium22,S8,1,i,px1.bmp,px3.bmp,s,0,2966,px,px,tub
spikeycons12_extracols,Medium,Medium22,S8,1,c,rx1.bmp,p2.bmp,s,1,2320,rx,p,bik
spikeycons12_extracols,Medium,Medium22,S8,1,i,rx3.bmp,p1.bmp,s,1,668,p,rx,rin
spikeycons12_extracols,Medium,Medium22,S8,1,i,rx3.bmp,rx2.bmp,s,1,1726,rx,rx,now
